equip,kind,token,class,source,unit,desc
entity:QNL_ELEC_Gen,POINT,Reset,brick:Reset_Command,Brick 1.4,,GCP Reset
entity:QNL_ELEC_Gen,POINT,kWh,brick:Electrical_Energy_Usage_Sensor,Dar Cairo,kWH,QNL Basement Level Zone 1 Generator
entity:QNL_ELEC_Gen,PART,ACB14,brick:Circuit_Breaker,Brick 1.4,,air circuit breaker
entity:QNL_ELEC_Gen,POINT/part,ACB14.MWh,brick:Electrical_Energy_Usage_Sensor,Dar Cairo,MWh,MWh
entity:QNL_ELEC_Gen,POINT/part,ACB14.OnOffSts,brick:On_Off_Status,Dar Cairo,,On/Off Status
entity:QNL_ELEC_Gen,POINT/part,ACB14.Sts,brick:On_Off_Status,Dar Cairo,,On/Off Status
entity:QNL_ELEC_Gen,POINT/part,ACB14.TripAlm,para:Trip_Status,Dar Cairo,,Trip Alarm
entity:QNL_ELEC_Gen,POINT/part,DayTnkHiLvlAlm.HiAlm,para:Day_Tank_High_Level_Alarm,para (minted),,Hi Level Alarm
entity:QNL_ELEC_Gen,POINT/part,DayTnkLoLvlAlm.LoAlm,para:Day_Tank_Low_Level_Alarm,para (minted),,Low Level Alarm
entity:QNL_ELEC_Gen,PART,FTPmp1,para:Fuel_Transfer_Pump,para (minted),,fuel transfer pump
entity:QNL_ELEC_Gen,POINT/part,FTPmp1.RunSts,brick:Run_Status,Brick 1.4,,Pump Running Status
entity:QNL_ELEC_Gen,POINT/part,FTPmp1.TripAlm,para:Trip_Status,Dar Cairo,,QNL Fuel Transfer Pump 01 Basement Level Zone1 Gen
entity:QNL_ELEC_Gen,PART,FTPmp2,para:Fuel_Transfer_Pump,para (minted),,fuel transfer pump
entity:QNL_ELEC_Gen,POINT/part,FTPmp2.RunSts,brick:Run_Status,Brick 1.4,,Pump Running Status
entity:QNL_ELEC_Gen,POINT/part,FTPmp2.TripAlm,para:Trip_Status,Dar Cairo,,QNL Fuel Transfer Pump 02 Basement Level Zone1 Gen
